verb,russian,je,tu,il/elle/on,nous,vous,ils/elles
tenir,удерживать,tiens,tiens,tient,tenons,tenez,tiennent
s'abstenir,воздерживаться,m'abstiens,t'abstiens,s'abstient,nous abstenons,vous abstenez,ils s'abstiennent
appartenir,принадлежать,appartiens,appartiens,appartient,appartenons,appartenez,appartiennent
contenir,содержать,contiens,contiens,contient,contenons,contenez,contiennent
détenir,держать,détiens,détiens,détient,détenons,détenez,détiennent
entretenir,поддерживать,entretiens,entretiens,entretient,entretenons,entretenez,entretiennent
maintenir,поддерживать,maintiens,maintiens,maintient,maintenons,maintenez,maintiennent
obtenir,получать,obtiens,obtiens,obtient,obtenons,obtenez,obtiennent
retenir,удерживать,retiens,retiens,retient,retenons,retenir,retenant
soutenir,поддерживать,soutiens,soutiens,soutient,soutenons,soutenez,soutiennent
venir,приходить,viens,viens,vient,venons,venez,viennent
advenir,случаться,advient,advient,advient,advenons,advenez,adviennent
circonvenir,обходить,conviens,conviens,conviens,convenons,convenez,conviennent
contrevenir,нарушать,contreviens,contreviens,contrevient,contrevienons,contrevienez,contreviennent
convenir,соответствовать,conviens,conviens,conviens,convenons,convenez,conviennent
devenir,становиться,deviens,deviens,devient,devenons,devenez,deviennent
disconvenir,отрицать,disconviens,disconviens,disconvient,disconvenons,disconvenez,disconviennent
intervenir,вмешиваться,interviens,interviens,intervient,intervenons,intervenez,interviennent
obvenir,получать,obviens,obviens,obvient,obvenons,obvenez,obviennent
parvenir,достигать,parviens,parviens,parvient,parvenons,parvenez,parviennent
prévenir,предупреждать,préviens,préviens,prévient,prévenons,prévenez,préviennent
provenir,происходить,proviens,proviens,provient,provenons,provenez,proviennent
redevenir,снова становиться,redeiens,redeiens,redeient,redevenons,redevenez,redeiennent
se ressouvenir,вспоминать,me ressouviens,te ressouviens,se ressouvient,nous ressouvenons,vous ressouvenez,se ressouviennent
revenir,возвращаться,reviens,reviens,revient,revenons,revenez,reviennent
se souvenir,помнить,me souviens,te souviens,se souvient,nous souvenons,vous souvenez,se souviennent
subvenir,предоставлять,subviens,subviens,subvient,subvenons,subvenez,subviennent
survenir,наступать,surviens,surviens,survient,survenons,survenez,surviennent
-,-,-,-,-,-,-,-
acquérir,приобретать,acquiers,acquiers,acquiert,acquérons,acquérez,acquièrent
conquérir,завоевывать,conquiers,conquiers,conquiert,conquérons,conquérez,conquièrent
quérir,получать,quiers,quiers,quiert,quérons,quérez,quièrent
reconquérir,повторно завоевывать,reconquiers,reconquiers,reconquiert,reconquérons,reconquérez,reconquièrent
requérir,требовать,requiers,requiers,requiert,requérons,requérez,requièrent
-,-,-,-,-,-,-,-
sentir,чувствовать,sens,sens,sent,sentons,sentez,sentent
consentir,соглашаться,consens,consens,consent,consentons,consentez,consentent
pressentir,предчувствовать,pressens,pressens,pressent,pressentons,pressentez,pressentent
ressentir,ощущать,ressens,ressens,ressent,ressentons,ressentez,ressentent
mentir,лгать,mens,mens,ment,mentons,mentez,mentent
démentir,опровергать,démentis,démentis,démentit,démentissons,démentissez,démentissent
partir,уезжать,pars,pars,part,partons,partez,partent
départir,разделить,dépars,dépars,départ,départons,départez,départent
repartir,расходиться,repars,repars,repart,repartons,repartez,repartent
se repentir,раскаиваться,me repens,te repens,se repent,nous repentons,vous repentez,se repentent
sortir,выходить,sors,sors,sort,sortons,sortez,sortent
ressortir,повторно выходить,ressors,ressors,ressort,ressortons,ressortez,ressortent
-,-,-,-,-,-,-,-
vêtir,одевать,revêts,revêts,revêt,revêtons,revêtez,revêtent
dévêtir,раздевать,dévêts,dévêts,dévêt,dévêtons,dévêtez,dévêtent
revêtir,надевать,revêts,revêts,revêt,revêtons,revêtez,revêtent
-,-,-,-,-,-,-,-
couvrir,покрывать,couvre,couvre,couvre,couvrons,couvrez,couvrent
découvrir,обнаруживать,découvre,découvre,découvre,découvrons,découvrez,découvrent
recouvrir,перекрывать,recouvre,recouvre,recouvre,recouvrons,recouvrez,recouvrent
ouvrir,открывать,ouvre,ouvre,ouvre,ouvrons,ouvrez,ouvrent
entrouvrir,приоткрывать,entrouvre,entrouvre,entrouvre,entrouvrons,entrouvrez,entrouvrent
rentrouvrir,повторно открывать,rentrouvre,rentrouvre,rentrouvre,rentrouvrons,rentrouvrez,rentrouvrent
rouvrir,вновь открывать,rouvre,rouvre,rouvre,rouvrons,rouvrez,rouvrent
souffrir,страдать,souffre,souffre,souffre,souffrons,souffrez,souffrent
-,-,-,-,-,-,-,-
cueillir,собирать,cueille,cueilles,cueille,cueillons,cueillez,cueillent
accueillir,принимать,accueille,accueilles,accueille,accueillons,accueillez,accueillent
recueillir,собирать,recueille,recueilles,recueille,recueillons,recueillez,recueillent
-,-,-,-,-,-,-,-
assaillir,нападать,assaillis,assaillis,assaillit,assaillons,assailliez,assaillent
saillir,выступать,saille,sailles,saille,saillons,saillez,saillent
tressaillir,вздрагивать,tressaille,tressailles,tressaille,tressaillons,tressaillez,tressaillent
-,-,-,-,-,-,-,-
faillir,потерпеть неудачу,faillis,faillis,faillit,faillissons,faillissez,faillissent
défaillir,обморок,défaillis,défaillis,défaillit,défaillissons,défaillissez,défaillissent
-,-,-,-,-,-,-,-
bouillir,кипеть,bous,bous,bout,bouillons,bouillez,bouillent
débouillir,отваривать,débous,débous,débout,débouillons,débouillez,débouillent
rebouillir,заново кипятить,rebous,rebous,rebout,rebouillons,rebouillez,rebouillent
-,-,-,-,-,-,-,-
dormir,спать,dors,dors,dort,dormons,dormez,dorment
endormir,усыплять,endors,endors,endort,endormons,endormez,endorment
rendormir,засыпать снова,rendors,rendors,rendort,rendormons,rendormez,rendorment
-,-,-,-,-,-,-,-
courir,бежать,cours,cours,court,courons,courez,courent
accourir,прибегать,accours,accours,accourt,accourons,accourez,accourent
concourir,соревноваться,concours,concours,concourt,concourons,concourez,concourent
encourir,подвергаться,encours,encours,encourt,encourons,encourez,encourent
parcourir,проезжать,parcours,parcours,parcourt,parcourons,parcourez,parcourent
recourir,обращаться,recours,recours,recourt,recourons,recourez,recourent
secourir,помогать,secours,secours,secourt,secourons,secourez,secourent
-,-,-,-,-,-,-,-
mourir,умирать,meurs,meurs,meurt,mourons,mourez,meurent
-,-,-,-,-,-,-,-
servir,служить,sers,sers,sert,servons,servez,servent
desservir,убирать,dessers,dessers,dessert,desservons,desservez,desservent
resservir,подавать повторно,ressers,ressers,ressert,resservons,resservez,resservent
-,-,-,-,-,-,-,-
fuir,убегать,fuis,fuis,fuit,fuyons,fuyez,fuient
s'enfuir,убегать,s'enfuis,s'enfuis,s'enfuit,nous enfuyons,vous enfuyez,s'enfuient
refuir,отказываться,refuis,refuis,refuit,refuyons,refuyez,refuient
-,-,-,-,-,-,-,-
ouïr,слышать,ouis,ouis,ouït,ouïssons,ouïssez,ouïssent
gésir,лежать,gîs,gîs,gît,giissons,giissez,gisent
-,-,-,-,-,-,-,-
recevoir,получать,reçois,reçois,reçoit,recevons,recevez,reçoivent
apercevoir,замечать,aperçois,aperçois,aperçoit,apercevons,apercevez,aperçoivent
concevoir,постигать,conçois,conçois,conçoit,concevons,concevez,conçoivent
décevoir,разочаровывать,déçois,déçois,déçoit,décevons,décevez,déçoivent
percevoir,воспринимать,perçois,perçois,perçoit,percevons,percevez,perçoivent
-,-,-,-,-,-,-,-
voir,видеть,vois,vois,voit,voyons,voyez,voient
entrevoir,видеть ненадолго,entrevois,entrevois,entrevoit,entrevoyons,entrevoyez,entrevoient
prévoir,предвидеть,prévois,prévois,prévoit,prévoyons,prévoyez,prévoient
revoir,увидеть снова,revois,revois,revoit,revoions,revoiez,revoient
-,-,-,-,-,-,-,-
pourvoir,снабжать,pourvois,pourvois,pourvoit,pourvoyons,pourvoyez,pourvoient
dépourvoir,лишать,dépourvois,dépourvois,dépourvoit,dépourvoyons,dépourvoyez,dépourvoient
-,-,-,-,-,-,-,-
savoir,знать,sais,sais,sait,savons,savez,savent
resavoir,узнать снова,resais,resais,resait,resavons,resavez,resavent
-,-,-,-,-,-,-,-
devoir,должен,dois,dois,doit,devons,devez,doivent
redevoir,видеть снова,redois,redois,redoit,redevoons,redevoez,redoiennent
-,-,-,-,-,-,-,-
pouvoir,мочь,peux,peux,peut,pouvons,pouvez,peuvent
-,-,-,-,-,-,-,-
mouvoir,двигать,mouvois,mouvois,mouvoit,mouvons,mouvez,mouvoient
émouvoir,возбуждать,émouvois,émouvois,émouvait,émouvons,émouvez,émouvaient
promouvoir,поощрять,promouvois,promouvois,promouvait,promouvons,promouvez,promouvaient
-,-,-,-,-,-,-,-
pleuvoir,дождь,pleut,pleut,pleut,pleuvons,pleuvez,pleuvent
repleuvoir,дождить снова,repleut,repleut,repleut,repleuvons,repleuvez,repleuvent
-,-,-,-,-,-,-,-
falloir,надо,il faut,il faut,il faut,il faut,il faut,il faut
-,-,-,-,-,-,-,-
valoir,стоить,vaux,vaux,vaut,valons,valez,valent
équivaloir,равняться,équivaut,équivaut,équivaut,équivaut,équivaut,équivaut
prévaloir,преобладать,prévaux,prévaux,prévaut,prévalons,prévalez,prévalent
revaloir,превосходить,revaux,revaux,revaut,revalons,revaluez,revalent
-,-,-,-,-,-,-,-
vouloir,хотеть,veux,veux,veut,voulons,voulez,veulent
-,-,-,-,-,-,-,-
asseoir,садиться,assieds,assieds,assied,asseyons,asseyez,asseyent
rasseoir,садиться снова,rasseyes,rasseyes,rasseye,rasseyons,rasseyez,rasseyent
-,-,-,-,-,-,-,-
seoir,подходить,me sied,te sied,se sied,nous siéons,vous siéez,se siedent
messeoir,подходить несовершенно,me mensieds,te mensieds,se mensied,messeyons,messyez,se mensiedent
-,-,-,-,-,-,-,-
surseoir,приостанавливаться,sursied,sursied,sursied,surseyons,surseyez,sursiedent
-,-,-,-,-,-,-,-
choir,падать,chéois,chéois,chéoit,choyons,choyez,chéoient
déchoir,упасть,déchois,déchois,déchoit,déchoyons,déchoyez,déchoient
échoir,достаться,m'échois,t'échois,s'échoit,nous échoyons,vous échoyez,s'échoient
-,-,-,-,-,-,-,-
rendre,делать,rends,rends,rend,rendons,rendez,rendent
défendre,защищать,défends,défends,défend,défendons,défendez,défendent
descendre,спускаться,descends,descends,descend,descendons,descendez,descendent
condescendre,снижаться,condescends,condescends,condescend,condescendons,condescendez,condescendent
fendre,расщеплять,fends,fends,fend,fendons,fendez,fendent
pourfendre,разрубать,pourfends,pourfends,pourfend,pourfendons,pourfendez,pourfendent
refendre,снова расщеплять,refends,refends,refend,refendons,refendez,refendent
prendre,брать,prends,prends,prend,prenons,prenez,prennent
apprendre,учиться,apprends,apprends,apprend,apprenons,apprenez,apprennent
dépendre,зависеть,dépends,dépends,dépend,dépendons,dépendez,dépendent
reprendre,повторно брать,reprends,reprends,reprend,reprenez,reprenez,rependent
suspendre,приостанавливать,suspend,suspend,suspend,suspendons,suspendez,suspendent
tendre,тянуть,tends,tends,tend,tendons,tendez,tendent
attendre,ждать,attends,attends,attend,attendons,attendez,attendent
détendre,расклеивать,détends,détends,détend,détendons,détendez,détendent
distendre,растягивать,distends,distends,distend,distendons,distendez,distendent
entendre,слышать,entends,entends,entend,entendons,entendez,entendent
étendre,расстилать,étends,étends,étend,étendons,étendez,étendent
prétendre,претендовать,prétends,prétends,prétend,prétendons,prétendez,prétendent
retendre,натягивать,retends,retends,retend,retendons,retendez,retendent
sous-entendre,подразумевать,sous-entends,sous-entends,sous-entend,sous-entendons,sous-entendez,sous-entendent
sous-tendre,лежать в основе,sous-tends,sous-tends,sous-tend,sous-tendons,sous-tendez,sous-tendent
vendre,продавать,vends,vends,vend,vendons,vendez,vendent
mévendre,продавать недоброкачественный,mévends,mévends,mévend,mévendons,mévendez,mévendent
épandre,растекаться,épands,épands,épand,épandons,épandez,épandent
répandre,распространять,répands,répands,répand,répandons,répandez,répandent
-,-,-,-,-,-,-,-
fondre,таять,fonds,fonds,fond,fondons,fondez,fondent
confondre,путать,confonds,confonds,confond,confondons,confondez,confondent
parfondre,снова растекаться,parfonds,parfonds,parfond,parfondons,parfondez,parfondent
refondre,переплавлять,refonds,refonds,refond,refondons,refondez,refondent
-,-,-,-,-,-,-,-
pondre,нести,ponds,ponds,pond,pondons,pondez,pondent
répondre,ответить,réponds,réponds,répond,répondons,répondez,répondent
correspondre,соответствовать,corresponds,corresponds,correspond,correspondons,correspondez,correspondent
tondre,стричь,tonds,tonds,tond,tondons,tondez,tondent
perdre,терять,perds,perds,perd,perdons,perdez,perdent
reperdre,потерять снова,reperds,reperds,reperd,reperdons,reperdez,reperdent
mordre,кусать,mords,mords,mord,mordons,mordez,mordent
démordre,перестать кусать,démords,démords,démord,démordons,démordez,démordent
remordre,снова кусать,remords,remords,remord,remordons,remordez,remordent
tordre,скручивать,tords,tords,tord,tordons,tordez,tordent
détordre,разгибать,détords,détords,détord,détordons,détordez,détordent
distordre,искажать,distords,distords,distord,distordons,distordez,distordent
retordre,скручивать вновь,retords,retords,retord,retordons,retordez,retordent
rompre,ломать,romps,romps,rompt,rompons,rompez,rompent
corrompre,подкупать,corromps,corromps,corrompt,corrompons,corrompez,corrompent
interrompre,прерывать,interromps,interromps,interrompt,interrompons,interrompez,interrompent
foutre,делать,fous,fous,fout,foutons,foutez,foutent
se contrefoutre,волноваться,me contrefous,te contrefous,se contrefout,nous contrefoutons,vous contrefoutez,se contrefoutent
-,-,-,-,-,-,-,-
prendre,брать,prends,prends,prend,prenons,prenez,prennent
apprendre,учиться,apprends,apprends,apprend,apprenons,apprenez,apprennent
comprendre,понимать,comprends,comprends,comprend,comprenons,comprenez,comprennent
détendre,расклеивать,détends,détends,détend,détendons,détendez,détendent
déprendre,отсоединять,déprends,déprends,déprend,déprenons,déprenez,déprennent
désapprendre,разучиваться,désapprends,désapprends,désapprend,désapprenons,désapprenez,désapprennent
entreprendre,предпринимать,entreprends,entreprends,entreprend,entreprenons,entreprenez,entreprenez
s'éprendre,влюбляться,me prends,te prends,s'éprend,nous prenons,vous prenez,s'éprennent
se méprendre,ошибиться,me méprends,te méprends,se méprend,nous méprenons,vous méprenez,se méprennent
réapprendre,переучиваться,réapprends,réapprends,réapprend,réapprenons,réapprenez,réapprennent
reprendre,повторно брать,reprends,reprends,reprend,reprenez,reprenez,rependent
surprendre,застать,je surprends,tu surprends,surprend,nous surprenons,vous surprenez,surprennent
-,-,-,-,-,-,-,-
battre,бить,bats,bats,bat,battons,battez,battent
abattre,сбивать,abats,abats,abat,abattons,abattez,abattent
combattre,сражаться,combat,combat,combat,combattons,combattez,combattent
contre-battre,перебивать,contre-bats,contre-bats,contre-bat,contre-battons,contre-battez,contre-battent
débattre,обсуждать,débats,débats,débat,débattons,débattez,débattent
s'ébattre,играть,s'ébats,s'ébats,s'ébat,s'ébattons,s'ébattez,s'ébattent
embattre,причинить удар,embats,embats,embat,embattons,embattez,embattent
rabattre,опускать,rebats,rebats,rebatt,rebattons,rebattez,rebattent
rebattre,вновь бить,rebats,rebats,rebatt,rebattons,rebattez,rebattent
-,-,-,-,-,-,-,-
mettre,положить,mets,mets,met,mettons,mettez,mettent
admettre,допускать,admets,admets,admet,admettons,admettez,adm ettent
commettre,совершать,commets,commets,commet,commettons,commettez,commettent
démettre,освобождать,démets,démets,dém et,dém ettons,dém ettez,démettent
émettre,излучать,émets,émets,émet,émettons,ém ettez,émettent
s'entremettre,вмешиваться,s'entremets,s'entremets,s'entremet,s'entremettons,s'entremettez,s'entremettent
omettre,упустить,omets,omets,omet,omettons,omettez,omettent
permettre,позволять,permets,permets,permet,permettons,permettez,permettent
promettre,обещать,promets,promets,promet,promettons,promettez,promettent
réadmettre,повторно допустить,réadmets,réadmets,réadmet,réadmettons,réadmettez,réadmettent
remettre,передать,remets,remets,remet,remettons,remettez,remettent
retransmettre,передавать снова,retransmets,retransmets,retransmet,retransmettons,retransmettez,retransmettent
soumettre,подвергать,soumets,soumets,soumet,soumettons,soumettez,soumettent
transmettre,передавать,transmets,transmets,transmet,transmettons,transmettez,transmettent
-,-,-,-,-,-,-,-
peindre,рисовать,peins,peins,peint,peignons,peignez,peignent
dépeindre,изображать,dépeins,dépeins,dépeint,dépeignons,dépeignez,dépeignent
repeindre,перекрашивать,repeins,repeins,repeint,repeignons,repeignez,repeignent
astreindre,заставлять,astreins,astreins,astreint,astreignons,astreignez,astreignent
étreindre,обнимать,étreins,étreins,étreint,étreignons,étreignez,étreignent
restreindre,ограничивать,restreins,restreins,restreint,restreignons,restreignez,restreignent
atteindre,достигать,atteins,atteins,atteint,atteignons,atteignez,atteignent
aveindre,присоединяться,aveins,aveins,aveint,aveignons,aveignez,aveignent
ceindre,опоясывать,ceins,ceins,ceint,ceignons,ceignez,ceignent
enceindre,окружать,enceins,enceins,enceint,enceignons,enceignez,enceignent
empreindre,отпечатывать,empreins,empreins,empreint,empreignons,empreignez,empreignent
feindre,притворяться,feins,feins,feint,feignons,feignez,feignent
geindre,стонать,geins,geins,geint,geignons,geignez,geignent
teindre,красить,teins,teins,teint,teignons,teignez,teignent
déteindre,снимать краску,déteins,déteins,déteint,déteignons,déteignez,déteignent
éteindre,гасить,éteins,éteins,éteint,éteignons,éteignez,éteignent
reteindre,вновь окрасить,reteins,reteins,reteint,reteignons,reteignez,reteignent
-,-,-,-,-,-,-,-
joindre,соединять,joins,joins,joint,joignons,joignez,joignent
adjoindre,прибавлять,adjoints,adjoints,adjoint,adjoignons,adjoignez,adjoignent
conjoindre,соединять,conjoins,conjoins,conjoint,conjoignons,conjoignez,conjoignent
disjoindre,разъединить,disjoins,disjoins,disjoint,disjoignons,disjoignez,disjoignent
enjoindre,приказывать,enjoins,enjoins,enjoint,enjoignons,enjoignez,enjoignent
rejoindre,присоединиться,rejoins,rejoins,rejoint,rejoignons,rejoignez,rejoignent
oindre,мазать,oins,oins,oint,oignons,oignez,oignent
poindre,просветать,poins,poins,point,poignons,poignez,poignent
-,-,-,-,-,-,-,-
craindre,бояться,crains,crains,craint,crainons,craignez,craignent
contraindre,заставлять,contrains,contrains,contraint,contrainons,contraignez,contraignent
plaindre,жалеть,plains,plains,plaint,plaignons,plaignez,plaignent
-,-,-,-,-,-,-,-
vaincre,побеждать,vaincs,vaincs,vainc,vainquons,vainquez,vainquent
convaincre,убеждать,convaincs,convaincs,convainc,convainquons,convainquez,convainquent
-,-,-,-,-,-,-,-
traire,доить,trais,trais,trait,traisons,traisez,traisent
abstraire,выводить,abstraits,abstraits,abstrait,abstrayons,abstrayez,abstraient
distraire,отвлекать,distrais,distrais,distrait,distraisons,distrairez,distraient
extraire,извлекать,extrais,extrais,extrait,extrayons,extrayez,extrayent
soustraire,вычитать,soustraits,soustraits,soustrait,soustrayons,soustrayez,soustraient
braire,рычать,braye,brayes,braye,brayons,brayez,brayent
-,-,-,-,-,-,-,-
faire,делать,fais,fais,fait,faisons,faites,font
contrefaire,подделывать,contrefais,contrefais,contrefait,contrefaisons,contrefaites,contrefont
défaire,разрушать,défais,défais,défait,défaisons,défaites,défont
malfaire,плохо делать,malfais,malfais,malfait,malfaisons,malfaites,malfont
méfaire,обидеть,méfais,méfais,méfait,méfaisons,méfaites,méfont
parfaire,совершенствовать,parfais,parfais,parfait,parfaisons,parfaites,parfont
redéfaire,переделать,redéfais,redéfais,redéfait,redéfaisons,redéfaites,redéfont
refaire,переделывать,refais,refais,refait,refaisons,refaites,refont
satisfaire,удовлетворять,satisfais,satisfais,satisfait,satisfaisons,satisfaites,satisfont
surfaire,завышать,surfais,surfais,surfait,surfaisons,surfaitez,surfaites
-,-,-,-,-,-,-,-
plaire,нравиться,plais,plais,plaît,plaisons,plaisez,plaisent
complaire,устраивать,complais,complais,complaît,complaisons,complaisez,complaisent
déplaire,не нравиться,déplais,déplais,déplaît,déplaisons,déplaisez,déplaisent
taire,молчать,tait,tait,taît,taisons,taisez,taisent
-,-,-,-,-,-,-,-
connaître,знать,connais,connais,connaît,connaissons,connaissez,connaissent
méconnaître,не узнавать,méconnais,méconnais,méconnaît,méconnaissons,méconnaissez,méconnaissent
reconnaître,признавать,reconnais,reconnais,connaît,reconnaissons,reconnaissez,reconnaissent
paraître,появляться,parais,parais,paraît,paraissons,paraissez,paraissent
apparaître,появляться,apparais,apparais,apparaît,apparaiss.ons,apparaiss.ez,apparaiss.ent
comparaître,сравниваться,comparais,comparais,compataît,comparaissons,comparez,compatissons
disparaître,исчезать,disparaîs,disparaîs,disparaît,disparaissons,disparaissez,disparaissent
réapparaître,появляться снова,réapparais,réapparais,réapparaît,réapparaiss.ons,réapparaiss.ez,réapparaiss.ent
recomparaître,появляться снова,recomparais,recomparais,recompataît,recomparaissons,recomparez,recompatissez
reparaître,появляться снова,reparaîs,reparaîs,reparaît,reparaissons,reparaissez,reparaissent
transparaître,прозрачный,transparaîs,transparaîs,transparaît,transparaissons,transparaissez,transparaissent
-,-,-,-,-,-,-,-
naître,рождаться,naîs,naîs,naît,naîssons,naîssez,naissent
renaître,воскрешать,renaîs,renaîs,renaît,renaîssons,renaîssez,renaissent
-,-,-,-,-,-,-,-
paître,пасти,pais,pais,paît,paissons,paissez,paissent
repaître,питаться,repaîs,repaîs,repaît,repaîssons,repaîssez,repaissent
-,-,-,-,-,-,-,-
croître,расти,crôis,crôis,crôit,croissons,croissez,croissent
accroître,увеличиваться,accrois,accrois,accroît,accroissons,accroissez,accroissent
décroître,уменьшаться,décrois,décrois,décroît,décroissons,décroissez,décroissent
recroître,увеличиваться,recrois,recrois,recroît,recroissons,recroissez,recroissent
-,-,-,-,-,-,-,-
croire,верить,crois,crois,croit,croyons,croyez,croient
accroire,полагать,accrois,accrois,accroît,accroyons,accroyez,accroient
-,-,-,-,-,-,-,-
boire,пить,bois,bois,boit,buvons,buvez,boivent
emboire,выпить,embus,embus,embut,embuvons,embuvet,embuvent
-,-,-,-,-,-,-,-
clore,закрывать,clôs,clôs,clôt,clôtson,clôtsez,clôtsent
déclore,открывать,disclôs,disclôs,déclôt,déclôtson,déclôtsez,déclôtsent
enclore,окружать,enclos,enclos,enclos,enclosont,enclosont,enclosent
forclore,истекать,forclus,forclus,forclos,forcluons,forclusez,forcluseent
-,-,-,-,-,-,-,-
conclure,заключать,conclus,conclus,conclut,concluons,concluez,concluent
exclure,исключать,exclus,exclus,exclut,excluons,excluez,excluent
inclure,включать,inclus,inclus,inclut,incluons,incluez,incluent
occlure,окклюдировать,oclus,oclus,oclut,ocluons,ocluons,ocluent
reclure,заключать,reclus,reclus,reclut,recluons,reclusez,recluent
-,-,-,-,-,-,-,-
absoudre,оправдать,absous,absous,absout,absolvons,absolvez,absolvent
dissoudre,растворять,disous,disous,disout,dissolvons,dissolvez,dissolvent
résoudre,решать,résous,résous,résout,résolvons,résolvez,résolvent
-,-,-,-,-,-,-,-
coudre,шить,couds,couds,coud,cousons,cousez,cousent
découdre,расшить,découds,découds,découd,décousons,décousez,décousent
recoudre,перешивать,recouds,recouds,recoud,recousons,recousez,recousent
-,-,-,-,-,-,-,-
moudre,молоть,mouds,mouds,moud,moulons,moulez,moulent
émoudre,точить,émouds,émouds,émoud,émoulons,émoulez,émoulent
remoudre,перемалывать,remouds,remouds,remoud,remoulons,remoulez,remoulent
-,-,-,-,-,-,-,-
