verb,english,russian,,,,,,,,,
s'aimer,to love one another,любить себя / друг друга,,,,,,,,,
s'amuser,to have fun,веселиться,,,,,,,,,
s'appeler,to be called,называться,,,,,,,,,
s'arrêter,to stop,останавливаться,,,,,,,,,
s'asseoir,to sit down,садиться,,,,,,,,,
se baigner,to go swimming,купаться,,,,,,,,,
se battre,to fight,драться,,,,,,,,,
se brosser,"to brush (teeth, hair)",чистить зубы / причесаться,,,,,,,,,
se casser,"to break (leg, arm)",сломать себе конечность,,,,,,,,,
se coiffer,to style hair,укладывать волосы,,,,,,,,,
se connaître,to know one another,быть знакомыми,,,,,,,,,
se coucher,to go to bed,ложиться спать,,,,,,,,,
se couper,to cut oneself,порезаться,,,,,,,,,
se dépêcher,to hurry,торопиться,,,,,,,,,
se disputer,to quarrel,ссориться,,,,,,,,,
s'endormir,to fall asleep,засыпать,,,,,,,,,
s'énerver,"to get irritated, angry","раздражаться,  сердиться",,,,,,,,,
s'ennuyer,to be/get bored,скучать,,,,,,,,,
s'habiller,to get dressed,одеваться,,,,,,,,,
s'habituer,to get used to,привыкать,,,,,,,,,
s'inquiéter,to worry,беспокоиться,,,,,,,,,
s'inscrire,"to enroll, to sign up",записаться,,,,,,,,,
s'intéresser,to be interested,интересоваться,,,,,,,,,
se laver,to have a wash,умываться,,,,,,,,, волосы...)
se lever,to get up / stand up,вставать / подниматься,,,,,,,,,
se maquiller,to put on makeup,наносить макияж,,,,,,,,,
se marier,to get married,жениться,,,,,,,,,
se moquer,to make fun,высмеивать,,,,,,,,,
se moucher,to blow nose,высмаркиваться,,,,,,,,,
s'occuper,to take care of,заботиться,,,,,,,,,
se passer,to happen,происходить,,,,,,,,,
se plaindre,to complain,жаловаться,,,,,,,,,
se promener,to go for a walk,прогуляться,,,,,,,,,
se rappeler,to remember,помнить,,,,,,,,,
se raser,to shave,бриться,,,,,,,,,
se rassembler,to assemble,собираться (в группу),,,,,,,,,
se réveiller,to wake up,просыпаться,,,,,,,,,
se taire,to get quiet,замолчать,,,,,,,,,
se tromper,to be wrong,ошибаться,,,,,,,,,
se trouver,to be (located),находиться,,,,,,,,,